ID;DeviceID;MeasurementID;MessageType;MessageData;TimeStampCreated;TimeStampReceived;MessageSourceID
1;DEV001;101;JSON_LOG;{"test_scenario": "Voice Call", "duration": "120s"}\x00;2023-10-27T10:00:01.100Z;2023-10-27T10:00:01.105Z;1
2;DEV001;102;DEVICE_INFO;Model: XYZ-123, Operator: Telkomsel;2023-10-27T10:00:02.200Z;2023-10-27T10:00:02.205Z;1
3;DEV001;103;RF_MEAS;PCI: 10, RSRP: -95, RSRQ: -12;2023-10-27T10:00:03.300Z;2023-10-27T10:00:03.305Z;2
4;DEV001;104;TEST_FLOW;Test Case 'Streaming' Started,A;2023-10-27T10:00:04.400Z;2023-10-27T10:00:04.405Z;3
5;DEV001;105;QOE_METRIC;YouTube MOS: 4.5, VideoLoadTime: 2.1s;2023-10-27T10:00:05.500Z;2023-10-27T10:00:05.505Z;2
6;DEV001;106;RF_MEAS;PCI: 10, RSRP: -112, RSRQ: -16\x00;2023-10-27T10:00:06.600Z;2023-10-27T10:00:06.605Z;2
7;DEV001;107;L3_MSG;RRCConnectionReconfiguration;2023-10-27T10:00:07.700Z;2023-10-27T10:00:07.705Z;2
8;DEV001;108;L3_MSG;RRCConnectionReconfigurationComplete;2023-10-27T10:00:07.950Z;2023-10-27T10:00:07.955Z;2
9;DEV001;109;QOE_METRIC;YouTube MOS: 2.1, VideoStall: true;2023-10-27T10:00:08.800Z;2023-10-27T10:00:08.805Z;2
10;DEV001;110;RF_MEAS;PCI: 25, RSRP: -98, RSRQ: -13;2023-10-27T10:00:09.900Z;2023-10-27T10:00:09.905Z;2
11;DEV001;111;L3_MSG;MeasurementReport;2023-10-27T10:00:10.100Z;2023-10-27T10:00:10.105Z;2
12;DEV001;112;TEST_FLOW;Test Case 'Streaming' Finished,A;2023-10-27T10:00:11.200Z;2023-10-27T10:00:11.205Z;3
